src,dst
0,1
0,2
0,3
0,4
0,5
0,7
0,8
0,9
0,10
0,12
0,14
0,15
0,17
0,21
0,28
0,29
0,33
0,44
0,56
0,62
0,64
0,65
0,75
0,84
0,86
0,88
0,89
0,90
1,4
1,16
1,21
1,27
1,30
1,50
1,58
1,79
1,82
1,96
1,97
2,4
2,5
2,6
2,10
2,15
2,16
2,18
2,22
2,25
2,26
2,29
2,32
2,42
2,45
2,46
2,49
2,50
2,54
2,57
2,88
2,90
3,23
3,44
4,5
4,6
4,7
4,8
4,9
4,13
4,19
4,20
4,25
4,27
4,30
4,35
4,36
4,38
4,50
4,51
4,59
4,92
4,93
4,95
5,6
5,7
5,9
5,11
5,13
5,14
5,18
5,20
5,26
5,31
5,38
5,49
5,51
5,68
5,74
5,87
6,10
6,11
6,20
6,23
6,25
6,31
6,41
6,43
6,52
6,54
6,66
6,71
6,72
6,86
6,96
6,99
7,8
7,12
7,15
7,17
7,32
7,37
7,73
7,83
7,85
7,94
8,40
9,11
9,13
9,14
9,24
9,30
9,32
9,37
9,48
9,51
9,54
9,58
9,60
9,61
9,68
10,12
10,16
10,19
10,23
10,46
10,52
11,18
11,26
11,31
11,35
11,43
11,59
11,60
11,62
11,68
11,69
11,75
11,84
12,19
12,34
12,78
13,17
13,24
13,39
13,40
13,48
13,53
13,55
14,87
15,21
15,76
15,78
16,59
16,66
16,92
17,22
17,46
18,28
18,47
18,70
18,87
18,90
19,22
19,24
19,33
19,35
19,53
19,91
20,27
20,37
20,78
20,79
22,28
22,39
22,61
22,79
22,83
23,33
23,40
23,81
24,34
25,29
25,60
25,63
25,72
28,70
28,82
29,36
29,43
30,42
30,67
31,45
31,49
31,53
31,63
31,98
32,57
32,94
32,99
33,34
33,39
33,47
33,56
33,67
33,73
33,80
34,36
34,41
34,45
34,63
34,91
34,92
34,95
35,38
35,48
35,70
35,72
35,73
37,42
37,56
37,64
37,82
38,71
38,76
38,81
38,88
39,41
39,44
40,55
40,86
43,62
44,52
44,67
45,47
45,71
46,58
46,74
46,91
47,55
48,77
48,89
49,69
49,99
50,94
51,84
53,65
53,69
53,80
53,98
54,64
56,57
57,77
58,66
58,74
59,80
60,61
62,95
64,65
66,85
69,75
69,83
70,81
72,76
73,77
74,96
78,85
78,93
79,98
82,97
83,89
85,93
89,97
