src,dst
0,1
0,2
0,3
0,4
0,5
0,9
0,10
0,11
0,12
0,15
0,16
0,17
0,20
0,24
0,37
0,42
0,43
0,44
0,57
0,66
0,67
0,71
0,76
0,86
0,97
1,4
1,5
1,21
1,47
1,70
2,6
2,8
2,28
2,50
2,74
2,98
3,4
3,5
3,11
3,22
3,53
3,56
3,59
3,75
3,79
3,81
3,88
3,94
4,6
4,7
4,9
4,10
4,12
4,13
4,14
4,16
4,27
4,28
4,31
4,32
4,38
4,41
4,42
4,51
4,54
4,59
4,61
4,62
4,67
4,70
4,76
4,81
4,86
4,97
5,6
5,7
5,8
5,14
5,19
5,25
5,41
5,48
5,52
5,86
5,95
6,7
6,9
6,12
6,13
6,18
6,25
6,35
6,62
6,69
6,81
6,82
6,85
6,87
6,89
6,90
6,95
7,8
7,13
7,14
7,15
7,20
7,26
7,29
7,30
7,36
7,38
7,41
7,44
7,47
7,58
7,63
7,67
7,73
7,74
7,83
7,92
8,16
8,72
8,87
8,91
8,96
9,10
9,15
9,18
9,22
9,34
9,39
9,49
9,72
9,79
9,84
10,11
10,19
10,20
10,24
10,27
10,33
10,35
10,49
10,76
10,87
11,31
11,37
11,44
11,56
11,60
12,17
12,33
12,61
12,89
13,23
13,30
13,50
13,58
13,70
13,73
13,74
13,80
14,28
14,38
14,45
14,55
14,83
15,17
15,18
15,19
15,21
15,26
15,27
15,35
15,45
15,53
15,54
15,69
15,85
16,25
16,36
16,42
16,58
16,64
16,65
16,78
16,90
16,97
17,21
17,23
17,24
17,26
17,31
17,46
17,48
17,59
17,93
17,99
18,84
19,22
19,46
19,47
19,78
20,30
20,48
20,96
21,23
21,34
21,71
21,88
21,91
22,33
22,36
22,93
23,32
23,40
23,77
24,57
24,94
25,34
25,40
25,62
25,71
25,72
25,82
25,99
27,29
27,40
28,29
28,91
30,55
31,32
31,66
34,37
34,39
34,43
34,49
34,54
34,64
34,92
35,39
35,60
35,75
35,79
35,80
35,83
35,93
36,53
36,80
36,95
37,43
38,51
38,57
39,50
39,61
41,46
42,51
42,52
42,89
43,45
45,64
46,52
46,65
47,55
48,63
49,73
49,78
52,96
53,75
54,56
58,60
59,63
60,66
60,68
60,77
61,69
62,88
64,65
65,68
65,77
66,68
67,94
70,92
71,84
75,82
81,85
84,90
86,98
91,98
97,99
